====================== Running testcase 1 ======================
rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
T: 31751200, bestHPWL: 12521.5
T: 31703600, bestHPWL: 12521.5
T: 31172200, bestHPWL: 12521.5
T: 30769500, bestHPWL: 12521.5
T: 29559800, bestHPWL: 12521.5
T: 28574300, bestHPWL: 12514.5
T: 28554300, bestHPWL: 12514.5
T: 28522900, bestHPWL: 12514.5
T: 27877000, bestHPWL: 12509.5
T: 27776800, bestHPWL: 12509.5
T: 27710200, bestHPWL: 12509.5
T: 27610600, bestHPWL: 12509.5
T: 27365900, bestHPWL: 12509.5
T: 27042100, bestHPWL: 12509.5
T: 26807800, bestHPWL: 12509.5
T: 26781000, bestHPWL: 12509.5
T: 26735500, bestHPWL: 12509.5
T: 26706100, bestHPWL: 12509.5
T: 26679400, bestHPWL: 12509.5
T: 26253200, bestHPWL: 12509.5
T: 26232200, bestHPWL: 12509.5
T: 25851900, bestHPWL: 12509.5
T: 25735800, bestHPWL: 12475.5
T: 25012500, bestHPWL: 12451.5
T: 24977500, bestHPWL: 12451.5
T: 24758600, bestHPWL: 12451.5
T: 24728900, bestHPWL: 12451.5
T: 23954700, bestHPWL: 12439.5
T: 23421600, bestHPWL: 12433.5
T: 23251200, bestHPWL: 12433.5
T: 22566100, bestHPWL: 12424.5
T: 22521000, bestHPWL: 12411.5
T: 22467000, bestHPWL: 12411.5
T: 21964800, bestHPWL: 12411.5
T: 21383800, bestHPWL: 12399.5
T: 21149800, bestHPWL: 12399.5
T: 20814000, bestHPWL: 12398.5
T: 20409900, bestHPWL: 12371.5
T: 20379300, bestHPWL: 12371.5
T: 20328400, bestHPWL: 12371.5
T: 20275600, bestHPWL: 12371.5
T: 20180500, bestHPWL: 12371.5
T: 19798600, bestHPWL: 12371.5
T: 19788700, bestHPWL: 12371.5
T: 19745200, bestHPWL: 12371.5
T: 19394800, bestHPWL: 12371.5
T: 19301900, bestHPWL: 12371.5
T: 19222900, bestHPWL: 12371.5
T: 19186400, bestHPWL: 12371.5
T: 19165300, bestHPWL: 12371.5
T: 18721900, bestHPWL: 12371.5
T: 18665800, bestHPWL: 12371.5
T: 18654600, bestHPWL: 12371.5
T: 18533700, bestHPWL: 12371.5
T: 18435700, bestHPWL: 12371.5
T: 17960600, bestHPWL: 12371.5
T: 17606600, bestHPWL: 12350.5
T: 17146000, bestHPWL: 12350.5
T: 16705800, bestHPWL: 12350.5
T: 16615800, bestHPWL: 12350.5
T: 16532900, bestHPWL: 12350.5
T: 16404400, bestHPWL: 12350.5
T: 16348700, bestHPWL: 12350.5
T: 16087500, bestHPWL: 12350.5
T: 16068200, bestHPWL: 12350.5
T: 15946500, bestHPWL: 12335.5
T: 15871700, bestHPWL: 12335.5
T: 15764100, bestHPWL: 12335.5
T: 15467300, bestHPWL: 12335.5
T: 15321000, bestHPWL: 12335.5
T: 15221700, bestHPWL: 12335.5
T: 14978500, bestHPWL: 12335.5
T: 14399600, bestHPWL: 12335.5
T: 14392400, bestHPWL: 12335.5
T: 14346400, bestHPWL: 12335.5
T: 14223500, bestHPWL: 12335.5
T: 14149700, bestHPWL: 12335.5
T: 13909700, bestHPWL: 12335.5
T: 13713500, bestHPWL: 12335.5
T: 13703900, bestHPWL: 12335.5
T: 13664200, bestHPWL: 12335.5
T: 13656000, bestHPWL: 12335.5
T: 13617800, bestHPWL: 12335.5
T: 13593300, bestHPWL: 12335.5
T: 13428400, bestHPWL: 12335.5
T: 13402900, bestHPWL: 12335.5
T: 12923600, bestHPWL: 12320.5
T: 12682800, bestHPWL: 12320.5
T: 12508900, bestHPWL: 12320.5
T: 12478900, bestHPWL: 12320.5
T: 12180400, bestHPWL: 12320.5
T: 12126900, bestHPWL: 12320.5
T: 11969000, bestHPWL: 12320.5
T: 11722500, bestHPWL: 12320.5
T: 11467300, bestHPWL: 12320.5
T: 11421500, bestHPWL: 12320.5
T: 11348600, bestHPWL: 12320.5
T: 11234500, bestHPWL: 12320.5
T: 10644700, bestHPWL: 12320.5
T: 10435900, bestHPWL: 12303
T: 10401500, bestHPWL: 12303
T: 10178100, bestHPWL: 12303
T: 9856400, bestHPWL: 12299.5
T: 9531500, bestHPWL: 12299.5
T: 9457400, bestHPWL: 12299.5
T: 9382000, bestHPWL: 12299.5
T: 9349200, bestHPWL: 12299.5
T: 9307200, bestHPWL: 12299.5
