seed=5
if(same > 1000000 and deltaCost < 5.0){

rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
Try uphill !
originWL: 11834.5, bestHPWL: 11830.5
originWL: 11834.5, bestHPWL: 11830.5
originWL: 11834.5, bestHPWL: 11830.5
originWL: 11834.5, bestHPWL: 11830.5
originWL: 11834.5, bestHPWL: 11830.5
originWL: 11834.5, bestHPWL: 11830.5
originWL: 11834.5, bestHPWL: 11830.5
originWL: 11834.5, bestHPWL: 11830.5
originWL: 11834.5, bestHPWL: 11830.5
Try uphill !
originWL: 11835.5, bestHPWL: 11830.5
originWL: 11835.5, bestHPWL: 11830.5
originWL: 11835.5, bestHPWL: 11830.5
originWL: 11835.5, bestHPWL: 11830.5
originWL: 11835.5, bestHPWL: 11830.5
originWL: 11835.5, bestHPWL: 11830.5
originWL: 11835.5, bestHPWL: 11830.5
originWL: 11835.5, bestHPWL: 11830.5
originWL: 11835.5, bestHPWL: 11830.5
originWL: 11835.5, bestHPWL: 11830.5
Try uphill !
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
Try uphill !
originWL: 11839.5, bestHPWL: 11830.5
originWL: 11839.5, bestHPWL: 11830.5
originWL: 11839.5, bestHPWL: 11830.5
originWL: 11839.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11837.5, bestHPWL: 11830.5
originWL: 11829.5, bestHPWL: 11829.5
originWL: 11829.5, bestHPWL: 11829.5
originWL: 11828.5, bestHPWL: 11828.5
originWL: 11828.5, bestHPWL: 11828.5
originWL: 11828.5, bestHPWL: 11828.5
originWL: 11828.5, bestHPWL: 11828.5
originWL: 11828.5, bestHPWL: 11828.5
originWL: 11828.5, bestHPWL: 11828.5
originWL: 11828.5, bestHPWL: 11828.5
originWL: 11828.5, bestHPWL: 11828.5
originWL: 11828.5, bestHPWL: 11828.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
originWL: 11826.5, bestHPWL: 11826.5
Try uphill !
originWL: 11828.5, bestHPWL: 11826.5
originWL: 11828.5, bestHPWL: 11826.5
originWL: 11828.5, bestHPWL: 11826.5
originWL: 11828.5, bestHPWL: 11826.5
originWL: 11828.5, bestHPWL: 11826.5
originWL: 11828.5, bestHPWL: 11826.5
originWL: 11828.5, bestHPWL: 11826.5
originWL: 11828.5, bestHPWL: 11826.5
originWL: 11828.5, bestHPWL: 11826.5
originWL: 11828.5, bestHPWL: 11826.5
originWL: 11818.5, bestHPWL: 11818.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
originWL: 11810.5, bestHPWL: 11810.5
Try uphill !
originWL: 11813.5, bestHPWL: 11810.5
originWL: 11813.5, bestHPWL: 11810.5
